noteId	participantId	createdAtMillis	timestampMillisOfFirstNonNMRStatus	firstNonNMRStatus	timestampMillisOfCurrentStatus	currentStatus	timestampMillisOfLatestNonNMRStatus	mostRecentNonNMRStatus
1578406822578425856	DA4507E4409ABAABB16D1F142ADEA36B	1665156486541	1665182446269	CURRENTLY_RATED_HELPFUL	1665182446269	CURRENTLY_RATED_HELPFUL	1665182446269	CURRENTLY_RATED_HELPFUL
1578426539099799554	30490ABC70725338228175CA6CB6686B	1665161187324	-1		-1		-1	
1578421813457321985	855F05F5B3D1FEFD991018FB44C3FA8B	1665160060643	-1		-1		-1	
1578419487442960387	D3D98EE418FFE9EE06C3FC1FC2C44A3D	1665159506079	-1		-1	NEEDS_MORE_RATINGS	-1	
1578416591582248960	DA4507E4409ABAABB16D1F142ADEA36B	1665158815651	-1		-1	NEEDS_MORE_RATINGS	-1	
1578441164692156417	3A004C939ED47A5D5DEC967AA3865604	1665164674338	1665171795213	CURRENTLY_RATED_HELPFUL	1665171795213	NEEDS_MORE_RATINGS	1665171795213	CURRENTLY_RATED_HELPFUL
1578437035567812608	72487D8ED7746A05D600FB8E45EE37CA	1665163689877	1665178950049	CURRENTLY_RATED_HELPFUL	1665178950049	CURRENTLY_RATED_HELPFUL	1665178950049	CURRENTLY_RATED_HELPFUL
1578435482131865601	DB835EE09E208271F1AE42AA00D8490D	1665163319510	-1		-1		-1	
1578433845342310400	F7A4FC95E7E28A832C3C4564C2F9FAB3	1665162929269	-1		-1		-1	
1578431636550881280	1F7F4E276D214529C51022941B6263A8	1665162402652	-1		-1	NEEDS_MORE_RATINGS	-1	
1578458546949263360	34D3F08F0FDCF7EE81D3AC27454B62C4	1665168818589	-1		-1		-1	
1578452330881712136	2F72FAE2981059A7FA85137C9A1B0119	1665167336562	-1		-1		-1	
1578446897043439649	96E8C2705AF950E4C4C7570121F5F054	1665166041035	-1		-1		-1	
1578445131174264838	AECA621BD49DBD17B585EFF22D682450	1665165620020	-1		-1	NEEDS_MORE_RATINGS	-1	
1578470115921870848	2F72FAE2981059A7FA85137C9A1B0119	1665171576846	-1		-1		-1	
1578469291669671936	7B67FD9619957556B81D258A6B97EF4A	1665171380332	-1		-1	NEEDS_MORE_RATINGS	-1	
1578489037534511104	314D9F2357B4607B091DC6A51E512181	1665176088109	-1		-1		-1	
1578488640858202112	2F72FAE2981059A7FA85137C9A1B0119	1665175993537	-1		-1	NEEDS_MORE_RATINGS	-1	
1578487421209124866	2F72FAE2981059A7FA85137C9A1B0119	1665175702751	-1		-1		-1	
1578487137837764618	2F72FAE2981059A7FA85137C9A1B0119	1665175635191	1665196905960	CURRENTLY_RATED_NOT_HELPFUL	1665196905960	NEEDS_MORE_RATINGS	1665196905960	CURRENTLY_RATED_NOT_HELPFUL
1578487048993914881	34D3F08F0FDCF7EE81D3AC27454B62C4	1665175614005	1665196905960	CURRENTLY_RATED_HELPFUL	1665196905960	CURRENTLY_RATED_HELPFUL	1665196905960	CURRENTLY_RATED_HELPFUL
1578483775276666880	C5ED48E11BAB925969EAD3AF28BCC91D	1665174833492	-1		-1	NEEDS_MORE_RATINGS	-1	
1578479741761474563	92C3265EB41BF40498AE230CBE871E4A	1665173871827	1665200526695	CURRENTLY_RATED_NOT_HELPFUL	1665200526695	NEEDS_MORE_RATINGS	1665200526695	CURRENTLY_RATED_NOT_HELPFUL
1578476502781509633	5D18505B059B402FBD8B73300FFA3993	1665173099591	-1		-1	NEEDS_MORE_RATINGS	-1	
1578475502385483783	2F72FAE2981059A7FA85137C9A1B0119	1665172861082	-1		-1		-1	
1578504701070528513	1CA5705EE494C8F7867A2E3CA449365C	1665179822593	-1		-1	NEEDS_MORE_RATINGS	-1	
1578501730647547904	21D38CD0624214B1011BCEF3B3373A65	1665179114390	-1		-1	NEEDS_MORE_RATINGS	-1	
1578499237607784448	34D3F08F0FDCF7EE81D3AC27454B62C4	1665178520001	-1		-1	NEEDS_MORE_RATINGS	-1	
1578492928929980419	1CA5705EE494C8F7867A2E3CA449365C	1665177015892	-1		-1	NEEDS_MORE_RATINGS	-1	
1578491622056083456	3A004C939ED47A5D5DEC967AA3865604	1665176704312	-1		-1	NEEDS_MORE_RATINGS	-1	
1578519176678760448	881710791BE8513A4F3D2B2AF0556DF5	1665183273845	-1		-1	NEEDS_MORE_RATINGS	-1	
1578517425334767616	86EBA1F6B84DE0D6A103A24614F9F23C	1665182856294	1665196905960	CURRENTLY_RATED_NOT_HELPFUL	1665196905960	CURRENTLY_RATED_NOT_HELPFUL	1665196905960	CURRENTLY_RATED_NOT_HELPFUL
1578513444046774274	A36FE55AFDC838B811FD8770EE1BAA23	1665181907081	-1		-1	NEEDS_MORE_RATINGS	-1	
1578508428577759234	847FC1CA64C82B5474917BC6976D8D99	1665180711298	-1		-1	NEEDS_MORE_RATINGS	-1	
1578525700696510464	96E8C2705AF950E4C4C7570121F5F054	1665184829293	-1		-1	NEEDS_MORE_RATINGS	-1	
1578546211409338369	BBF8DF9623E84DD078C1D4DB9FD3E3BF	1665189719429	-1		-1	NEEDS_MORE_RATINGS	-1	
1578539756585189384	E25DA1B2E8DB417146D1E8F91CF7CF1E	1665188180478	-1		-1	NEEDS_MORE_RATINGS	-1	
1578535828590104576	DB835EE09E208271F1AE42AA00D8490D	1665187243970	-1		-1		-1	
1578562918228103170	34D3F08F0FDCF7EE81D3AC27454B62C4	1665193702642	-1		-1		-1	
1578560954110976000	DB835EE09E208271F1AE42AA00D8490D	1665193234362	-1		-1		-1	
1578558552809119745	96E8C2705AF950E4C4C7570121F5F054	1665192661847	-1		-1	NEEDS_MORE_RATINGS	-1	
1578557041899339777	A61F27352EA96C8E8F5EA3E50665F548	1665192301617	1665240279499	CURRENTLY_RATED_HELPFUL	1665240279499	CURRENTLY_RATED_HELPFUL	1665240279499	CURRENTLY_RATED_HELPFUL
1578556532920406016	DB835EE09E208271F1AE42AA00D8490D	1665192180268	-1		-1	NEEDS_MORE_RATINGS	-1	
1578555933986156544	9FC179459DAABBCED1F0FE580C206372	1665192037470	-1		-1		-1	
1578555555970514944	34D3F08F0FDCF7EE81D3AC27454B62C4	1665191947346	1665801803487	CURRENTLY_RATED_HELPFUL	1665801803487	NEEDS_MORE_RATINGS	1665801803487	CURRENTLY_RATED_HELPFUL
1578552495642742784	AE8506D41AB125BF6951917B7485B005	1665191217707	-1		-1	NEEDS_MORE_RATINGS	-1	
1578580646003212289	8287473C23000581E5B9AA8BA49800DB	1665197929274	-1		-1	NEEDS_MORE_RATINGS	-1	
1578579868048056321	2F72FAE2981059A7FA85137C9A1B0119	1665197743793	-1		-1		-1	
1578577774721261569	2F5B67DBED82289F4E95493FC2EEE3D7	1665197244705	1665801803487	CURRENTLY_RATED_HELPFUL	1665801803487	NEEDS_MORE_RATINGS	1665801803487	CURRENTLY_RATED_HELPFUL
1578571544057487361	DB835EE09E208271F1AE42AA00D8490D	1665195759200	-1		-1		-1	
1578571285315039232	6A80509EE4B527A0E692333D2ED8706D	1665195697512	-1		-1	NEEDS_MORE_RATINGS	-1	
1578569924603166720	34D3F08F0FDCF7EE81D3AC27454B62C4	1665195373092	1665256417514	CURRENTLY_RATED_HELPFUL	1665256417514	CURRENTLY_RATED_HELPFUL	1665256417514	CURRENTLY_RATED_HELPFUL
1578565881843617795	6D2D1366C9E38491A0E314EE0D24AFE0	1665194409224	1665256417514	CURRENTLY_RATED_HELPFUL	1665256417514	CURRENTLY_RATED_HELPFUL	1665256417514	CURRENTLY_RATED_HELPFUL
1578592095077830656	C614628C28AB9CD6A59E99B472FEDF93	1665200658947	-1		-1	NEEDS_MORE_RATINGS	-1	
1578588811759685633	9795BF8962792425EFA8D2F4F92685B4	1665199876142	-1		-1		-1	
1578586239011377153	2F72FAE2981059A7FA85137C9A1B0119	1665199262753	-1		-1		-1	
1578585759535210497	9795BF8962792425EFA8D2F4F92685B4	1665199148434	-1		-1	NEEDS_MORE_RATINGS	-1	
1578622992489193473	3A945B0B09BB856F0F81AB9726AFE272	1665208025464	1665256417514	CURRENTLY_RATED_HELPFUL	1665256417514	CURRENTLY_RATED_HELPFUL	1665256417514	CURRENTLY_RATED_HELPFUL
1578618008687157248	89AED672D7B3271073316A414C9AC90C	1665206837232	-1		-1	NEEDS_MORE_RATINGS	-1	
